date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:06	188/188	---M-Z	200	added ('OK')	text/plain	date:Thu,%2014%20Jan%202021%2010:56:06%20GMT	https://bg.bodyfreq.com/robots.txt		(from )
12:56:07	101150/101150	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2010:56:06%20GMT	https://bg.bodyfreq.com/	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/bg.bodyfreq.com/index.html	(from )
12:56:07	303817/303817	---MCZ	200	added ('Ok')	text/css	etag:298fdb4e5b3a3f8d23a6d4c71c97955c	https://s.bodyfreq.com/css/main/bodyfreq.css	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/css/main/bodyfreq.css	(from https://bg.bodyfreq.com/)
12:56:08	3124/3124	---M--	200	added ('OK')	image/png	etag:%22c34-53ae07674ba80%22	https://s.bodyfreq.com/interface/i/favicon/apple-touch-icon-60x60.png	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/interface/i/favicon/apple-touch-icon-60x60.png	(from https://bg.bodyfreq.com/)
12:56:08	4086/4086	---M--	200	added ('OK')	image/png	etag:%22ff6-53ae07674ba80%22	https://s.bodyfreq.com/interface/i/favicon/apple-touch-icon-76x76.png	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/interface/i/favicon/apple-touch-icon-76x76.png	(from https://bg.bodyfreq.com/)
12:56:08	7106/7106	---M--	200	added ('OK')	image/png	etag:%221bc2-53ae07674ba80%22	https://s.bodyfreq.com/interface/i/favicon/apple-touch-icon-120x120.png	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/interface/i/favicon/apple-touch-icon-120x120.png	(from https://bg.bodyfreq.com/)
12:56:08	9550/9550	---M--	200	added ('OK')	image/png	etag:%22254e-53ae07674ba80%22	https://s.bodyfreq.com/interface/i/favicon/apple-touch-icon-152x152.png	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/interface/i/favicon/apple-touch-icon-152x152.png	(from https://bg.bodyfreq.com/)
12:56:09	11888/11888	---M--	200	added ('OK')	image/png	etag:%222e70-53ae07674ba80%22	https://s.bodyfreq.com/interface/i/favicon/apple-touch-icon-180x180.png	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/interface/i/favicon/apple-touch-icon-180x180.png	(from https://bg.bodyfreq.com/)
12:56:09	1925/1925	---M--	200	added ('OK')	image/png	etag:%22785-53ae076933f00%22	https://s.bodyfreq.com/interface/i/favicon/favicon-32x32.png	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/interface/i/favicon/favicon-32x32.png	(from https://bg.bodyfreq.com/)
12:56:09	1133/1133	---M--	200	added ('OK')	image/png	etag:%2246d-53ae076933f00%22	https://s.bodyfreq.com/interface/i/favicon/favicon-16x16.png	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/interface/i/favicon/favicon-16x16.png	(from https://bg.bodyfreq.com/)
12:56:09	374/374	---M--	200	added ('OK')	application/json	date:Thu,%2014%20Jan%202021%2010:56:09%20GMT	https://bg.bodyfreq.com/manifest.json	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/bg.bodyfreq.com/manifest.json	(from https://bg.bodyfreq.com/)
12:56:10	9700/9700	---M--	200	added ('OK')	image/svg+xml	etag:%2225e4-53ae076933f00%22	https://s.bodyfreq.com/interface/i/favicon/safari-pinned-tab.svg	D:/Websites/bg.bodyfreq.com/bg.bodyfreq.com/s.bodyfreq.com/interface/i/favicon/safari-pinned-tab.svg	(from https://bg.bodyfreq.com/)
